Data_type;Decoder_type;LM_type;model_ID;Reference;WER;CER;Transcript
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;videre skal politiet have yderligere beføjelser til at gennemgå hotelgæstebøger samt telefonselskaber og kreditkortfirmaers arkiver;0.06666666666666668;0.015267175572519085;videre skal politiet have ydligere beføjelser til at gennemgå hotelgæstebøger samt telefonselskaber og kreditkortfirmaers arkiver
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det er selvfølgelig ærgerligt at spændingen her i marts måned efter bare anden runde af forårssæsonen siver ud af kampen om førstepladsen;0.3181818181818182;0.08029197080291971;det er selvfølgelig ærgeligt at spændingen have  marts månled efter bar anden runde af forsæsone siver ud af kampen om førstepladser
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;først når den polare vinternat aftager og sollyset tiltager vil den for årstiden traditionelle nedbrydning begynde på den nordlige halvkugle;0.35;0.09285714285714286;gørs snår den pålarer vinternet aftager og solløse tiltager med den for årstiden radietionnelle nedbrydning begynde på den nordlige halvkugle
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;hans mål er at skabe landets største ejendomsselskab der både skal kunne udvikle nye idéer og drive ejendommene;0.1111111111111111;0.01801801801801801;hans måd er at skabe landets største ejendomsselskab der både skal kunne udvikle nye idéer og drrive ejendommene
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;baggrunden er at museumsbestyrelsen i den udbudsrunde der slutter i morgen satser på en ren priskonkurrence;0.25;0.04672897196261682;baggrudden er at museumsbestyrelsen i den udbudsrunde forslutter i morgen satser på en ren krøskonkurrence
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;de er ikke vendt mod nogen eller noget andet end ordene som vibrerer gennem lokalet på en sprød klangbund af jazz;0.047619047619047616;0.008849557522123894;de er ikke vendt mod nogen eller noget andet end ordene som vibrerer gennem lokale på en sprød klangbund af jazz
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;men ellers må vi jo indrømme at det ikke har meget med kunstverdenen at gøre;0.2;0.06578947368421052;med elders må vi jo indrømme at vi ikke har meget med kunstverdenen at gøre
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det indebærer at tyve procent af bistanden og tyve procent af ulandenes statsbudgetter skal gå til sociale formål;0.1111111111111111;0.035398230088495575;det indebærer tyve procent af bistanden og tyve procent af udlandene statsbudgetter skal gå til sociale formål
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det er for eksempel hændt at der under en messe er kommet en shaman for at hjælpe med at helbrede en eller anden;0.17391304347826084;0.0625;det er for eksempel hent at der under en misse er kommet  en cheman for at hjælpe med at helbrede ind eller anden
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;forsvaret vil ifølge regeringen også i årene fremover råde over godt femten milliarder kroner om året;0.0;0.0;forsvaret vil ifølge regeringen også i årene fremover råde over godt femten milliarder kroner om året
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;bestyrelsen behandler landstrænersituationen på sit ordinære møde;0.2857142857142857;0.09230769230769233;bestyrelsen behandled landsremisituationen på sit ordinære møde
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;efter hans mening er det først og fremmest producenten som er ansvarlig for produktet;0.07142857142857142;0.011764705882352941;efter hans mening er det først og fremmedst producenten som er ansvarlig for produktet
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det er uretfærdigt at sådanne kåringer bliver foretaget af folk der rejser i embeds medfør;0.26666666666666666;0.07777777777777778;det er uretfærdigt at sådan kønne bliver foretaget af folk der rejser i embedsmedfør
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;endelig ligger der bag spådommene også det faktum at danskerne bliver ældre og ældre;0.14285714285714285;0.05952380952380953;enlig ligger der bag sportdommene også det faktum at danskerne bliver ældre og ældre
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;da de kom hjem ud på natten glemte de imidlertid at fjerne vandbadet igen;0.14285714285714285;0.0273972602739726;da de kom hjem ud på natten glempe de imidlertid at fjerne vandladet igen
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;jeg havde ikke set den slags dyr siden jeg for længe siden var dæksdreng i handelsflåden;0.25;0.09090909090909093;jeg havde ikke set den laks dyre siden jeg for længe siden var dækstreng i handelsen
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;en bil plasker gennem pytterne ude på vejen og overdøver universitetslæreren;0.4545454545454545;0.13157894736842105;en vilplasker gennem pytterne ud på vejen og orddøver universitetser
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;jeg kan med sindsro sige at jeg er overbevist om det rigtige i min beslutning;0.06666666666666668;0.012987012987012988;jeg kan med sindsro sige at jeg er overbevist om det rigtige min beslutning
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;men der findes en del haver hvor man har dem i tusindvis;0.3333333333333333;0.125;kven der findes en del haver hvor man har d i e tosindsvis
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;omvendt er de sluppet for at give efter for krav om flere bistandsmidler;0.07692307692307693;0.013888888888888888;omvendt er de sluppet for at give efter for krav om fere bistandsmidler
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;han nød at kunne lytte til andre og tale frit fra leveren;0.08333333333333333;0.03508771929824561;han nød at kunne lytte til andre og tale frit for leveren
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;skattelettelser viste det sig kan blive dyre i den sidste ende;0.2727272727272727;0.12903225806451613;skattede sårviste det sig kan blive dyrere i den sidste ende
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;hertil kommer et mindre antal institutioner og erhvervsvirksomheder;0.125;0.01492537313432836;hertil kommer et mindre antal institutioner og erhvervsviksomheder
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;varmen fortsætter men luftfugtigheden får den til at føles mere trykkende;0.18181818181818185;0.0684931506849315;varmen fortsætter men luftfugtigheden for den til at føles mere tryggne
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det noget skarpe klangbillede krævede tilvænning;0.6666666666666666;0.22916666666666666;der nåede skarpe klankede krævede tilvæning
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;opfatter du dig som en succes eller som en fiasko;0.5;0.16326530612244894;opfattede dud dig sim md en succes eller som en jasko
