Data_type;Decoder_type;LM_type;model_ID;Reference;WER;CER;Transcript
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;videre skal politiet have yderligere beføjelser til at gennemgå hotelgæstebøger samt telefonselskaber og kreditkortfirmaers arkiver;0.06666666666666668;0.015267175572519085;videre skal politiet have ydligere beføjelser til at gennemgå hotelgæstebøger samt telefonselskaber og kreditkortfirmaers arkiver
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det er selvfølgelig ærgerligt at spændingen her i marts måned efter bare anden runde af forårssæsonen siver ud af kampen om førstepladsen;0.2727272727272727;0.08029197080291971;det er selvfølgelig ærgerligt at spændingen have i marts måled efter bar anden runde af forsæsone siger ud af kampen om førstepladsern
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;først når den polare vinternat aftager og sollyset tiltager vil den for årstiden traditionelle nedbrydning begynde på den nordlige halvkugle;0.3;0.07142857142857142;gørs når den pålarer vinternet aftaer og sollyse tiltager med den for årstiden traditionelle nedbrydning begynde på den nordlige halvkugle
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;hans mål er at skabe landets største ejendomsselskab der både skal kunne udvikle nye idéer og drive ejendommene;0.1111111111111111;0.01801801801801801;hans måd er at skabe landets største ejendomsselskab der både skal kunne udvikle nye idéer og drive ejendommende
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;baggrunden er at museumsbestyrelsen i den udbudsrunde der slutter i morgen satser på en ren priskonkurrence;0.3125;0.08411214953271028;baggøden er at museumsbestyrelsen i den udbudsrund det forslutter i morgen satser på en ren kpryskonkurrence
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;de er ikke vendt mod nogen eller noget andet end ordene som vibrerer gennem lokalet på en sprød klangbund af jazz;0.09523809523809523;0.035398230088495575;de er ikke væn mod nogen eller noget andet end ordene som vibrerer gennem lokale på en sprød klangbund af jazz
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;men ellers må vi jo indrømme at det ikke har meget med kunstverdenen at gøre;0.13333333333333333;0.06578947368421052;men ellers må vi jo indrømme at vi ikke har meget med kunstverden at gøre
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det indebærer at tyve procent af bistanden og tyve procent af ulandenes statsbudgetter skal gå til sociale formål;0.16666666666666666;0.035398230088495575;det indebærer tyve procent af bistanden og tyve procent af udlandenes tatsbudgetter skal gå til sociale formål
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det er for eksempel hændt at der under en messe er kommet en shaman for at hjælpe med at helbrede en eller anden;0.2608695652173913;0.08928571428571429;det er for eksempel hent at der under en messe ar komme det ceman for at hjælpe med at helbrede ind eller anden
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;forsvaret vil ifølge regeringen også i årene fremover råde over godt femten milliarder kroner om året;0.0;0.0;forsvaret vil ifølge regeringen også i årene fremover råde over godt femten milliarder kroner om året
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;bestyrelsen behandler landstrænersituationen på sit ordinære møde;0.2857142857142857;0.07692307692307693;bestyrelsen behandler landsgrenisituationen po sit ordinære møde
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;efter hans mening er det først og fremmest producenten som er ansvarlig for produktet;0.07142857142857142;0.011764705882352941;efter hans mening er det først og fremmedst producenten som er ansvarlig for produktet
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det er uretfærdigt at sådanne kåringer bliver foretaget af folk der rejser i embeds medfør;0.3333333333333333;0.08888888888888889;det er uritfærdigt at sådan køne bliver foretaget af folk der rejser i embedsmedfør
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;endelig ligger der bag spådommene også det faktum at danskerne bliver ældre og ældre;0.21428571428571427;0.047619047619047616;enelig ligger der bag sportdommen e også det faktum at danskerne bliver ældre og ældre
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;da de kom hjem ud på natten glemte de imidlertid at fjerne vandbadet igen;0.21428571428571427;0.0684931506849315;da de komme hjem ud på natten glimpe de imidlertid at fjerne vandladet igen
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;jeg havde ikke set den slags dyr siden jeg for længe siden var dæksdreng i handelsflåden;0.375;0.125;jeg h hav ikke set den slaks dyre siden jeg for længe siden var dæktstreng i handelsen
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;en bil plasker gennem pytterne ude på vejen og overdøver universitetslæreren;0.5454545454545454;0.17105263157894735;en vinplasker gennem pytlerne ud på vejen og orddøver universitetse
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;jeg kan med sindsro sige at jeg er overbevist om det rigtige i min beslutning;0.2;0.03896103896103896;jeg kan med i sindro sige at jeg er overbevist om det rigtige min beslutning
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;men der findes en del haver hvor man har dem i tusindvis;0.3333333333333333;0.10714285714285714;hven der findes en del haver hvor man har ie tusindsvis
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;omvendt er de sluppet for at give efter for krav om flere bistandsmidler;0.07692307692307693;0.013888888888888888;omvendt er de sluppet for at give efter for krav om fere bistandsmidler
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;han nød at kunne lytte til andre og tale frit fra leveren;0.08333333333333333;0.03508771929824561;han nød at kunne lytte til andre og tale frit for leveren
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;skattelettelser viste det sig kan blive dyre i den sidste ende;0.2727272727272727;0.16129032258064516;skaltede seåvise det sig kan blive dyrere i den sidste ende
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;hertil kommer et mindre antal institutioner og erhvervsvirksomheder;0.375;0.01492537313432836;hertil kommer et mindre antat institutioner ogerhvervsvirksomheder
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;varmen fortsætter men luftfugtigheden får den til at føles mere trykkende;0.2727272727272727;0.0547945205479452;varmen fortsætter men luftfugtigheden for dem til at føles mere tryggende
Tue_test_split;greedy;None;Clean_original_hyper-parameters.pth;det noget skarpe klangbillede krævede tilvænning;0.8333333333333334;0.25;der er noede skarpe klankede krævede tilvæning
